Path,Type,Size,Lines,Reviewed,ReviewDepth,RelatedFindings,ExclusionReason,Notes
prisma/migrations/20260912133904_hot_path_indexes/migration.sql,prisma,415,11,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/migrations/20260912141836_persepix_defaults/migration.sql,prisma,3372,62,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/migrations/20260912200000_drop_dead_tables/migration.sql,prisma,328,6,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/migrations/20260913040000_session_idle_timeout/migration.sql,prisma,272,4,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/migrations/migration_lock.toml,prisma,124,3,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/schema.prisma,prisma,34678,986,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/seed-discounts.ts,prisma,2051,42,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
prisma/seed.ts,prisma,95178,914,YES,FULL,DB-401..429,,schema.prisma full read + migrations + data-quality on disposable copy (2-b)
public/fonts/Vazirmatn-Bold.woff2,asset,51020,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/Vazirmatn-Medium.woff2,asset,51128,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/Vazirmatn-Regular.woff2,asset,50684,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/Vazirmatn-SemiBold.woff2,asset,51032,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/inter-latin-400-normal.woff2,asset,23692,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/inter-latin-500-normal.woff2,asset,24368,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/inter-latin-600-normal.woff2,asset,24304,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/fonts/inter-latin-700-normal.woff2,asset,24352,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/about-studio.png,asset,138700,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/article-covers.png,asset,131084,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/article-interview.png,asset,141804,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/article-printing.png,asset,143844,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/article-translation.png,asset,117698,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-archivist.png,asset,100899,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-blueprints.png,asset,170480,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-cartographer.png,asset,90623,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-fieldnotes.png,asset,160368,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-letters.png,asset,89877,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-nightingale.png,asset,163923,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-orchard.png,asset,163040,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-rust.png,asset,224535,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-songs.png,asset,179002,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/cover-tea.png,asset,84128,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-dariush.png,asset,155129,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-farhad.png,asset,138312,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-golnar.png,asset,139006,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-kaveh.png,asset,153769,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-leila.png,asset,159677,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-martin.png,asset,130163,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-mehrnaz.png,asset,109361,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-neda.png,asset,95290,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-omid.png,asset,170349,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-parvaneh.png,asset,127137,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-sarah.png,asset,105486,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/face-shirin.png,asset,108664,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-persepix-1-mobile.png,asset,124226,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-persepix-1.webp,asset,307478,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-persepix-2-mobile.png,asset,208321,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-persepix-2.webp,asset,253226,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-poetry-mobile.png,asset,201900,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-poetry.png,asset,135099,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-season-mobile.png,asset,96761,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/hero-season.png,asset,138596,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/life-hands.png,asset,84152,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/life-reading.png,asset,146517,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/life-shelf.png,asset,87953,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/life-stack.png,asset,111385,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/logo.png,asset,301619,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/poster-art.png,asset,123252,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/poster-children.png,asset,137189,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/poster-poetry.png,asset,111574,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-botany-encyclopedia/gallery-1.png,asset,905706,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-botany-encyclopedia/gallery-2.png,asset,1908835,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-botany-encyclopedia/gallery-3.png,asset,2790864,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-botany-encyclopedia/gallery-4.png,asset,2472328,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-botany-encyclopedia/gallery-5.png,asset,701552,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-botany-encyclopedia/main.png,asset,905706,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol1-4/gallery-1.png,asset,499662,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol1-4/gallery-2.png,asset,562297,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol1-4/gallery-3.png,asset,522074,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol1-4/gallery-4.png,asset,2659949,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol1-4/gallery-5.png,asset,2194109,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol1-4/main.png,asset,499662,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-1.png,asset,1395148,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-2.png,asset,1346419,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-3.png,asset,1400500,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-4.png,asset,2578915,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-5.png,asset,1717848,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-6.png,asset,2482211,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-7.png,asset,2217162,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/gallery-8.png,asset,1595039,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/illustrated-history-iran-vol5-8/main.png,asset,1395148,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-dawn-of-history/gallery-1.png,asset,1193041,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-dawn-of-history/gallery-2.png,asset,824003,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-dawn-of-history/gallery-3.png,asset,499662,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-dawn-of-history/gallery-4.png,asset,1264131,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-dawn-of-history/main.png,asset,1193041,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-1.png,asset,1334932,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-2.png,asset,1802866,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-3.png,asset,1007822,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-4.png,asset,1743919,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-5.png,asset,2291348,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-6.png,asset,562297,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/gallery-7.png,asset,2170111,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/iran-seleucid-parthian/main.png,asset,1334932,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/religious-political-currents-pahlavi-ii/gallery-1.png,asset,124146,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/religious-political-currents-pahlavi-ii/gallery-2.png,asset,1173436,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/religious-political-currents-pahlavi-ii/gallery-3.png,asset,2096057,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/religious-political-currents-pahlavi-ii/gallery-4.png,asset,1552192,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/religious-political-currents-pahlavi-ii/gallery-5.png,asset,316828,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/products/religious-political-currents-pahlavi-ii/main.png,asset,124146,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-1-mobile.png,asset,184621,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-1.png,asset,151265,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-2-mobile.png,asset,175445,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-2.png,asset,163213,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-3-mobile.png,asset,148233,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-3.png,asset,143864,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-4-mobile.png,asset,179833,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-4.png,asset,147288,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/images/story/shahnameh-cover.png,asset,236982,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/logo.svg,asset,1065,,COUNTED,-,PERF-401,,binary/static; sizes+formats counted (3-c image audit)
public/uploads/.gitkeep,public-asset,0,,COUNTED,-,-,,-
scripts/backup-db.sh,script,3744,71,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/check-db.ts,script,423,9,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/check-routes.ts,script,5179,117,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/check-stock.ts,script,450,7,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/pg-transfer.ts,script,4621,110,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/restore-db.sh,script,4001,88,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/rewrite-git-history.sh,script,3635,81,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
scripts/smoke.ts,script,10601,225,YES,TARGETED,QA-408; QA-410,,smoke.ts + check-routes.ts FULL; others targeted
src/app/[...slug]/page.tsx,app-route/page,31205,600,YES,FULL,SEO-401..407,,SEO runtime raw-HTML + code read (3-b) + 2-d Shell/layout
src/app/api/account/addresses/[id]/route.ts,api-route,2696,74,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/addresses/route.ts,api-route,2007,64,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/data-export/route.ts,api-route,3170,93,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/deletion-request/route.ts,api-route,4200,103,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/email/change/route.ts,api-route,4474,83,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/email/verification-request/route.ts,api-route,2343,39,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/orders/[orderNumber]/cancel/route.ts,api-route,4589,108,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/orders/[orderNumber]/route.ts,api-route,5894,147,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/orders/route.ts,api-route,1638,48,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/password/route.ts,api-route,2922,79,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/profile/route.ts,api-route,1666,51,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/returns/route.ts,api-route,3915,111,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/summary/route.ts,api-route,2407,61,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/tickets/[id]/messages/route.ts,api-route,1654,44,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/tickets/[id]/route.ts,api-route,1213,36,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/account/tickets/route.ts,api-route,2371,76,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/analytics/route.ts,api-route,3597,92,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/announcements/[id]/route.ts,api-route,5139,125,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/announcements/route.ts,api-route,3995,113,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/articles/[id]/route.ts,api-route,5993,136,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/articles/route.ts,api-route,5529,143,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/audit-log/route.ts,api-route,827,29,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/back-in-stock/[id]/route.ts,api-route,2325,58,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/back-in-stock/notify/route.ts,api-route,1731,46,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/back-in-stock/route.ts,api-route,1658,45,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/categories/[id]/route.ts,api-route,4405,105,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/categories/route.ts,api-route,3384,104,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/customers/[id]/route.ts,api-route,7679,183,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/customers/route.ts,api-route,3777,89,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/dashboard/route.ts,api-route,6857,171,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/discounts/[id]/route.ts,api-route,6679,147,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/discounts/route.ts,api-route,6903,154,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/emails/dispatch/route.ts,api-route,649,14,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/emails/route.ts,api-route,15356,283,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/homepage/route.ts,api-route,5283,136,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/homepage/versions/[id]/restore/route.ts,api-route,2631,58,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/homepage/versions/route.ts,api-route,2567,61,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/legal/route.ts,api-route,4906,146,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/newsletter/route.ts,api-route,1283,33,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/orders/[id]/refund/route.ts,api-route,4659,107,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/orders/[id]/route.ts,api-route,9738,244,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/orders/[id]/ship/route.ts,api-route,4802,112,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/orders/route.ts,api-route,2426,70,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/people/[id]/route.ts,api-route,3627,87,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/people/route.ts,api-route,2744,85,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/products/[id]/duplicate/route.ts,api-route,2101,61,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/products/[id]/route.ts,api-route,36172,837,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/products/bulk-stock/route.ts,api-route,4326,100,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/products/export/route.ts,api-route,6243,155,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/products/import/route.ts,api-route,8646,203,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/products/route.ts,api-route,15605,375,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/promotions/[id]/route.ts,api-route,4110,93,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/promotions/route.ts,api-route,3244,82,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/reports/digest/route.ts,api-route,1694,39,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/reports/export/route.ts,api-route,3863,91,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/reports/route.ts,api-route,4201,98,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/reviews/[id]/route.ts,api-route,1958,51,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/reviews/route.ts,api-route,1301,38,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/settings/route.ts,api-route,7473,157,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/tickets/[id]/messages/route.ts,api-route,1500,42,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/tickets/[id]/route.ts,api-route,2807,81,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/tickets/route.ts,api-route,1188,36,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/admin/upload/route.ts,api-route,3143,62,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/analytics/event/route.ts,api-route,3265,90,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/articles/[slug]/route.ts,api-route,668,14,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/articles/route.ts,api-route,458,9,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/auth/confirm-email-change/route.ts,api-route,4240,79,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/auth/forgot-password/route.ts,api-route,3010,60,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/auth/google/callback/route.ts,api-route,6440,164,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/auth/google/start/route.ts,api-route,2269,54,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/auth/google/status/route.ts,api-route,447,9,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
src/app/api/auth/login/route.ts,api-route,2601,58,YES,FULL,API-401..412,,2-c read all 112 route files (inventory+guards); auth-sensitive read fully
